axisX,axisY,axisZ
-1.063381,0,-10.39094
-1.118815,0,-10.31954
-1.197268,0,-10.27912
-1.25207,0,-10.25392
-0.593356,0.867605,-5.39914
-0.472065,0.872327,-5.397397
-0.3722,0.878738,-5.413209
-0.267827,0.879613,-5.442343
-0.193884,0.877098,-5.470037
-0.11806,0.872032,-5.50571
-0.071062,0.869022,-5.527329
0.009288,0.86481,-5.558687
0.088434,0.871642,-5.590889
0.176991,0.891175,-5.634669
0.195036,0.881597,-5.660395
0.029476,0.738804,-5.640335
0.087725,0.7446,-5.679476
0.104432,0.734839,-5.701952
0.103747,0.713322,-5.725959
0.102815,0.693621,-5.746366
0.096619,0.674648,-5.766171
0.089663,0.664005,-5.777413
0.08821,0.656057,-5.785745
0.088895,0.655004,-5.786833
0.103933,0.657755,-5.783702
0.119371,0.664634,-5.776251
0.149556,0.673802,-5.766157
0.1683,0.678368,-5.761067
0.179955,0.685562,-5.753351
0.199376,0.691293,-5.747031
0.218263,0.698388,-5.739284
0.234118,0.708882,-5.72733
0.256396,0.719508,-5.714841
0.277485,0.728445,-5.703763
0.29506,0.74116,-5.68819
0.3042,0.745072,-5.675015
0.314066,0.742826,-5.660324
0.328024,0.739238,-5.638466
0.341191,0.740077,-5.61948
0.498481,0.882082,-5.635634
0.5116,0.885054,-5.619262
0.496494,0.868301,-5.589011
0.490337,0.861804,-5.56867
0.490306,0.856813,-5.55333
0.492726,0.855886,-5.550594
0.48922,0.856161,-5.551283
0.48841,0.858206,-5.557521
0.488423,0.862336,-5.570228
0.490002,0.866773,-5.584005
0.497454,0.872971,-5.599534
0.507209,0.880973,-5.61228
0.512257,0.881863,-5.613722
0.509795,0.876608,-5.60495
-0.526159,0.585352,-5.762946
-0.482527,0.61749,-5.761354
-0.445643,0.639928,-5.756586
-0.396971,0.666755,-5.747289
-0.356725,0.687835,-5.732838
-0.300433,0.722952,-5.704776
-0.252262,0.746054,-5.681847
-0.21329,0.739088,-5.635827
-0.183948,0.740734,-5.610641
-0.158576,0.741962,-5.591533
-0.149127,0.74251,-5.583007
-0.146016,0.743226,-5.571894
-0.14721,0.743498,-5.567673
-0.159122,0.743994,-5.560015
-0.173764,0.744574,-5.551058
-0.172536,0.744085,-5.558648
-0.154032,0.742946,-5.576254
-0.148052,0.743085,-5.574082
-0.139916,0.742948,-5.576185
-0.128953,0.741881,-5.592731
-0.111239,0.740394,-5.615797
-0.087342,0.740222,-5.650512
-0.078935,0.73999,-5.649267
-0.079073,0.739724,-5.626166
-0.071124,0.741073,-5.605216
-0.047388,0.741158,-5.603863
-0.014197,0.742014,-5.590527
0.007281,0.744327,-5.554581
0.112929,0.898175,-5.653594
0.132156,0.87821,-5.611429
0.158993,0.869583,-5.585299
0.189385,0.870204,-5.587505
0.232854,0.876358,-5.606785
0.26213,0.883164,-5.621301
0.298072,0.89322,-5.651649
0.301637,0.745567,-5.535172
0.326354,0.740595,-5.611694
0.330474,0.741358,-5.650975
0.331647,0.740844,-5.647883
0.337708,0.744888,-5.672033
0.348777,0.717321,-5.711385
